target,iteration,particle_id,hidden_units,alpha,learning_rate_init,fitness
Initial Setting Time (IST),1,6,21,0.00013180176742160125,0.0068918528710659515,22.8142889936969
Initial Setting Time (IST),1,7,15,0.006976086778786731,0.006081045798995526,22.258642352050785
Initial Setting Time (IST),1,8,20,0.00038363314625091896,0.005012813020453317,21.625187011489512
Initial Setting Time (IST),1,9,21,0.0003477957294634034,0.005238879998233845,22.292763781132372
Initial Setting Time (IST),1,10,20,0.00043894990347552036,0.003277239425177424,21.623558720762272
Initial Setting Time (IST),1,11,17,0.002276068965699502,0.0039116887550844645,22.50243588509591
Initial Setting Time (IST),1,12,14,0.0017551768258859113,0.002489761840142363,23.10357480122399
Initial Setting Time (IST),1,13,20,0.001334400014518311,0.003070930456506937,21.709279029723312
Initial Setting Time (IST),1,14,20,0.0005666784930559146,0.00578607409701067,21.60752213668812
Initial Setting Time (IST),2,0,20,0.00023060498700918847,0.00359456499505188,21.671675036810072
Initial Setting Time (IST),2,1,20,0.0007726406335854692,0.002134097555164025,25.069353022568478
Initial Setting Time (IST),2,2,20,0.006174517538259873,0.00748259905675926,21.8852037865534
Initial Setting Time (IST),2,3,24,0.0002934604964185557,0.0018458785285566486,24.276169695234945
Initial Setting Time (IST),2,4,19,0.0001,0.0055390533255590835,21.795903193910444
Initial Setting Time (IST),2,5,24,0.00021629570297187882,0.011000000324478204,22.379052152770043
Initial Setting Time (IST),2,6,20,0.0001,0.003719550366459472,21.6686913149686
Initial Setting Time (IST),2,7,24,0.0002418822789142438,0.0027918699516252853,21.742847017029753
Initial Setting Time (IST),2,8,20,0.0004388123273278945,0.005157043364145943,21.739936102184217
Initial Setting Time (IST),2,9,24,0.00042378221297385165,0.003705154146911642,21.21685731566377
Initial Setting Time (IST),2,10,20,0.0001,0.004032272906319365,21.65115612589389
Initial Setting Time (IST),2,11,23,0.0004767599038667486,0.009241051714709419,23.23319631728547
Initial Setting Time (IST),2,12,19,0.0011053575990949906,0.008693218930973901,22.29636367382867
Initial Setting Time (IST),2,13,21,0.0007009349584265167,0.0017054777880559197,26.549529439677425
Initial Setting Time (IST),2,14,21,0.0004396213889498165,0.002956518250879657,21.813137864341993
Initial Setting Time (IST),3,0,20,0.00020846113738184563,0.0022562204852482034,23.59950538683327
Initial Setting Time (IST),3,1,23,0.0006739210197741489,0.002041759335004414,24.205896210447083
Initial Setting Time (IST),3,2,22,0.0005122929961309342,0.006739085177418328,21.705449866914943
Initial Setting Time (IST),3,3,24,0.000270534196167584,0.002448964820585829,22.084461189110808
Initial Setting Time (IST),3,4,21,0.0001,0.004075256535586805,22.063276308572306
Initial Setting Time (IST),3,5,24,0.0001,0.01569884455206954,24.73630558051649
Initial Setting Time (IST),3,6,23,0.0001,0.002556687166994123,23.68273659171164
Initial Setting Time (IST),3,7,24,0.0001,0.0018252337388834315,24.411390296601056
Initial Setting Time (IST),3,8,24,0.00039785955555412373,0.003110073237600224,21.403458883123548
Initial Setting Time (IST),3,9,24,0.0004771268008889327,0.0030098647372605656,21.486111870326294
Initial Setting Time (IST),3,10,24,0.00014381714039402127,0.004128670257076437,21.185578249802465
Initial Setting Time (IST),3,11,24,0.0006463843702891207,0.006797282780110759,22.358722384407606
Initial Setting Time (IST),3,12,24,0.0003338712608910402,0.013090539394381382,23.553350126736525
Initial Setting Time (IST),3,13,21,0.0003896632401670188,0.0025025968391780254,22.505622779039957
Initial Setting Time (IST),3,14,22,0.00038658015268678073,0.0022852966497667955,22.679240478987428
Initial Setting Time (IST),4,0,24,0.00019441079338156894,0.003063178238637406,21.42941954916424
Initial Setting Time (IST),4,1,24,0.0001,0.012131958824846207,22.839234674053852
Initial Setting Time (IST),4,2,24,0.0001,0.004952648272385527,21.551380530392063
Initial Setting Time (IST),4,3,24,0.00012507032358570065,0.0035867194822152633,21.2482343833556
Initial Setting Time (IST),4,4,22,0.0001,0.003740532300825275,21.585801618233017
Initial Setting Time (IST),4,5,24,0.00013181395937417333,0.005578854132332061,21.767487023195518
Initial Setting Time (IST),4,6,22,0.0001,0.004292171728730726,21.62919656303897
Initial Setting Time (IST),4,7,24,0.00019028277662610788,0.0026845067116752636,21.698062910499026
Initial Setting Time (IST),4,8,24,0.0001,0.0031150275750313383,21.393652872582205
Initial Setting Time (IST),4,9,24,0.00037249022947609596,0.00507540312431601,21.59223834367082
Initial Setting Time (IST),4,10,24,0.0001788533333476827,0.004187611339840091,21.261635628359656
Initial Setting Time (IST),4,11,24,0.0007546766990793724,0.004024823223265127,21.253764359290525
Initial Setting Time (IST),4,12,24,0.00030915207054961865,0.005324466055593831,21.705025990913626
Initial Setting Time (IST),4,13,22,0.00045787325695212296,0.007937678601789155,21.574171729294772
Initial Setting Time (IST),4,14,23,0.00040282748627925885,0.010935783418966503,22.26831818620185
Initial Setting Time (IST),5,0,24,0.0001250036310919771,0.005056256493924613,21.606319204781126
Initial Setting Time (IST),5,1,23,0.0001,0.011959927893290773,22.419176606794622
Initial Setting Time (IST),5,2,24,0.0001,0.003323791131694093,21.310761642096896
Initial Setting Time (IST),5,3,24,0.0001,0.004649757487156102,21.43694233552447
Initial Setting Time (IST),5,4,24,0.00011175789846266169,0.003870577493620496,21.22503460966721
Initial Setting Time (IST),5,5,24,0.00016935488354689375,0.001961095543217942,23.58747616017455
Initial Setting Time (IST),5,6,22,0.00012360653506655528,0.005720771249824209,21.71078515280659
Initial Setting Time (IST),5,7,24,0.0002662538452862466,0.0036897310823991083,21.17542026960718
Initial Setting Time (IST),5,8,24,0.0001,0.0037359969349933697,21.240818449116023
Initial Setting Time (IST),5,9,24,0.0001526112348755644,0.005998037122936501,21.989611547761104
Initial Setting Time (IST),5,10,24,0.00018224529496927187,0.004126373473705684,21.185017374282506
Initial Setting Time (IST),5,11,24,0.0007571484988701739,0.0029863250480670275,21.516530975674975
Initial Setting Time (IST),5,12,24,0.00022785599170203804,0.002494661270967515,21.980852821798713
Initial Setting Time (IST),5,13,24,0.00014900024170211044,0.00840547846938446,23.22962163675591
Initial Setting Time (IST),5,14,22,0.00026049284075208826,0.004915175423253051,21.667075108727865
Initial Setting Time (IST),6,0,24,0.0002397782451242923,0.002869584216057635,21.647771869817102
Initial Setting Time (IST),6,1,22,0.00021929316783471188,0.002287290550852538,22.67456815857451
Initial Setting Time (IST),6,2,24,0.0001,0.0029451353223203607,21.54751506276166
Initial Setting Time (IST),6,3,24,0.0002121262821410207,0.004562440782291684,21.378670422162127
Initial Setting Time (IST),6,4,24,0.0003892568759746464,0.003938124111361904,21.233738871760817
Initial Setting Time (IST),6,5,24,0.00017487351381048372,0.0018186640258258382,24.459159092923226
Initial Setting Time (IST),6,6,24,0.00022270101918574675,0.005969135880148742,21.985378447215037
Initial Setting Time (IST),6,7,24,0.00032571198088228724,0.004465528311510431,21.34549181433723
Initial Setting Time (IST),6,8,24,0.00016834195773253983,0.004107525486869614,21.27979890751461
Initial Setting Time (IST),6,9,24,0.0003046128758674725,0.004103991336794284,21.217332339196513
Initial Setting Time (IST),6,10,24,0.0002979228724492787,0.0037719788460060344,21.227176153176735
Initial Setting Time (IST),6,11,24,0.000199202559257792,0.003986729706077387,21.274512014205076
Initial Setting Time (IST),6,12,24,0.0002599018385414689,0.005404855910972419,21.72395710513932
Initial Setting Time (IST),6,13,24,0.0001667930652918653,0.004313929724614698,21.220453834578695
Initial Setting Time (IST),6,14,21,0.00024653681448265385,0.002515652469079271,22.359205415044666
Initial Setting Time (IST),7,0,24,0.00038142817701293383,0.0021413066772503118,22.790657052780073
Initial Setting Time (IST),7,1,22,0.000358668558045849,0.0031213322849159017,21.697156968649075
Initial Setting Time (IST),7,2,24,0.00018392591910770085,0.003965997713047433,21.250823161378793
Initial Setting Time (IST),7,3,24,0.0003438281139789118,0.00271202390176309,21.65800855549167
Initial Setting Time (IST),7,4,24,0.000114614131975145,0.0036847774869367533,21.166747671173333
Initial Setting Time (IST),7,5,24,0.00012944909561604385,0.013704980037738578,24.04796708337348
Initial Setting Time (IST),7,6,23,0.0001005034320129555,0.0031131189358935534,22.47080866606687
Initial Setting Time (IST),7,7,24,0.0002898588047452561,0.0037931770103408558,21.224013361904507
Initial Setting Time (IST),7,8,24,0.0001897524641840304,0.003453475999310422,21.2086776026827
Initial Setting Time (IST),7,9,24,0.000666594086842346,0.002935038576331087,21.55180094512675
Initial Setting Time (IST),7,10,24,0.00019821776369111172,0.0037217307885294435,21.179940190292548
Initial Setting Time (IST),7,11,24,0.00011259459734917586,0.004410902971471797,21.24851386842964
Initial Setting Time (IST),7,12,24,0.0003768932341684782,0.0071780750828784705,22.613405712775386
Initial Setting Time (IST),7,13,24,0.0001964530954184808,0.002526547127099674,21.9394743064839
Initial Setting Time (IST),7,14,24,0.0005173970181167213,0.006454022332982739,22.155617623579335
Initial Setting Time (IST),8,0,24,0.0001,0.002415291927127707,22.152534711322723
Initial Setting Time (IST),8,1,24,0.0004039656303382307,0.0038000747431116634,21.220571285580515
Initial Setting Time (IST),8,2,24,0.0002530686223200852,0.0045091561262431195,21.36181038285039
Initial Setting Time (IST),8,3,24,0.00016305829572982216,0.002423711216856954,22.140294861253825
Initial Setting Time (IST),8,4,24,0.0001,0.0035406613329989497,21.193390322360028
Initial Setting Time (IST),8,5,24,0.00010663208201670745,0.018493611249163867,26.01466351491155
Initial Setting Time (IST),8,6,23,0.0001,0.002719822289082522,22.52131232186246
Initial Setting Time (IST),8,7,24,0.0001,0.0033472476344784097,21.307009442796748
Initial Setting Time (IST),8,8,24,0.00014080572261481367,0.003214618642897441,21.320564770700052
Initial Setting Time (IST),8,9,24,0.0001,0.0035311413355576787,21.198347271340314
Initial Setting Time (IST),8,10,24,0.00011909210287104968,0.0036785283862865166,21.174185847518864
Initial Setting Time (IST),8,11,24,0.0001,0.004406852840760455,21.30769729900992
Initial Setting Time (IST),8,12,24,0.0001,0.005410145600399754,21.722358666643455
Initial Setting Time (IST),8,13,24,0.00011651567795110387,0.0031335193465914036,21.37698882926168
Initial Setting Time (IST),8,14,24,0.0006456341390210011,0.004485982850927204,21.410065748857516
Initial Setting Time (IST),9,0,24,0.0001,0.004925456514925957,21.535579454569323
Initial Setting Time (IST),9,1,24,0.00034133845774511883,0.004102545356036202,21.21483648980222
Initial Setting Time (IST),9,2,24,0.0001221851662709454,0.00342558118253357,21.228937334435727
Initial Setting Time (IST),9,3,24,0.0001,0.004737231739186131,21.464657312903043
Initial Setting Time (IST),9,4,24,0.0001,0.003825225453739248,21.231846557131348
Initial Setting Time (IST),9,5,24,0.00013560314078879404,0.0055879125360782655,21.782143319491475
Initial Setting Time (IST),9,6,23,0.0001,0.004242401363964837,22.666335360553067
Initial Setting Time (IST),9,7,24,0.0001,0.003847919754771032,21.190599116622103
Initial Setting Time (IST),9,8,24,0.00010887238674302179,0.003760324344659846,21.22833452954635
Initial Setting Time (IST),9,9,24,0.0001,0.004077299309424823,21.209745249064145
