,Na2O_pct,MS,LS,Alk_Bi,has_Na2SiO3,water_binder_ratio,Na2SiO3_binder_ratio,IST,FST
Na2O_pct,1.0,-0.6227904120848915,-0.25237591359936973,0.5299250770335024,-0.3037619628529498,-0.7948427219411458,0.014721810175974372,-0.4715349243812036,-0.5809591739125987
MS,-0.6227904120848915,1.0,0.7526545570256904,0.26052265385124457,0.7882671966333814,0.6477041962421397,0.7049590130968465,0.19957557987063074,0.37110094194069737
LS,-0.25237591359936973,0.7526545570256904,1.0,0.6413602501407366,0.6595314131879428,0.3632365246930041,0.7682731124950605,0.1989681467338709,0.2515044312049115
Alk_Bi,0.5299250770335024,0.26052265385124457,0.6413602501407366,1.0,0.43884849683695437,-0.3668181223701283,0.813467718359726,-0.36540032578721793,-0.36909455711372674
has_Na2SiO3,-0.3037619628529498,0.7882671966333814,0.6595314131879428,0.43884849683695437,1.0,0.3984560624281771,0.7430235089201419,-0.008410182690303419,0.14337142815187132
water_binder_ratio,-0.7948427219411458,0.6477041962421397,0.3632365246930041,-0.3668181223701283,0.3984560624281771,1.0,-0.03469467146495342,0.7246519627857687,0.872621471677868
Na2SiO3_binder_ratio,0.014721810175974372,0.7049590130968465,0.7682731124950605,0.813467718359726,0.7430235089201419,-0.03469467146495342,1.0,-0.3181119917703879,-0.23050247972907148
IST,-0.4715349243812036,0.19957557987063074,0.1989681467338709,-0.36540032578721793,-0.008410182690303419,0.7246519627857687,-0.3181119917703879,1.0,0.9292673023470057
FST,-0.5809591739125987,0.37110094194069737,0.2515044312049115,-0.36909455711372674,0.14337142815187132,0.872621471677868,-0.23050247972907148,0.9292673023470057,1.0
