target,model,R2,MSE,RMSE,MAE
Initial Setting Time (IST),RandomForest,0.3851818159734183,570.7828960315919,23.891063099652804,17.309146116554007
Initial Setting Time (IST),GradientBoosting,0.1697640007685951,770.7717831756507,27.762776935595813,18.995651459298927
Initial Setting Time (IST),PSO_ANN,0.37673260526192365,578.6269466540106,24.054665798011214,14.625212452216898
Initial Setting Time (IST),HybridStack,0.5155092683337362,449.78992181041076,21.208251267146256,15.015636180160755
Final Setting Time (FST),RandomForest,0.43523033690936397,3063.8801156434024,55.3523271023306,33.65832940938204
Final Setting Time (FST),GradientBoosting,0.2584788083789288,4022.758626770281,63.425220746720946,33.930711547522634
Final Setting Time (FST),PSO_ANN,0.5367297386493102,2513.2450177188616,50.132275209877136,28.097826546008108
Final Setting Time (FST),HybridStack,0.6223341563562506,2048.840340264657,45.26411757965305,28.7101465056758
